Type,S,Q_1,CA_1,A_1,Q_2,CA_2,A_2,Q_3,A_3,Level,Q_type,Deviation
SS_4whitelie,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Heinrich has been looking forward to Christmas all year, because he knew he could ask her parents for a guinea pig. Heinrich really wants to have a guinea pig.
It was finally Christmas, and Heinrich hurried to open the big package her parents had given her. He was sure it would contain a guinea pig in a cage.
But when he opened the package, with the whole family gathered around him, he saw that there were only a few old video games inside. That is not what he wished for.
However, when his parents asked him what he thought of his Christmas present, he said, ""I think it's a nice present, thank you. It's exactly what I wanted.""
Is what Heinrich says true?",False ,"No. He wanted a guinea pig, not old video games, so “exactly what I wanted” is false.",Why does Heinrich say this?,,To be polite—a white lie to spare his parents’ feelings and avoid awkwardness in front of the family.,,,,,1
SS_4whitelie,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Synthia was on a holiday with her parents. She brought her friend Linda. Linda and Synthia made friends with some other children in the holiday resort. Synthia really liked one of the boys, Tim. She talked about him all the time and she was really shy when he came near. 
At the end of the holiday, they played with the other children one more time. When Synthia went on the swing, back and forth, higher and higher. Then, at the highest point, she jumped off. But she didn't see her skirt got stuck in the swing and it ripped. 
Synthia quickly ran away, back to their bungalow. 
When they were in the car back home, Synthia asked to Linda: ""Do you think Tim saw anything?""
At the moment Synthia jumped from the swing, Linda was talking with Tim, and they both saw that happened. However, Linda answered: ""No, I don't think Tim saw anything!""
Is what Linda says true?",False ,No. Linda and Tim saw it happen; she lied to comfort Synthia.,Why does Linda say this? ,,"To spare Synthia embarrassment. It’s a kind, face‑saving white lie to reassure her, since knowing Tim saw would humiliate her.",,,,,2
SS_5misunderstanding,You will be asked a question. Please respond to it as accurately as possible without using many words.,"A burglar just stole from a store. He tries to flee. While running home, a police officer sees that he just dropped a glove. The police officer does not know that the man is a burglar. All he wants to say is that the burglar dropped his glove. But when the police officer yells at the burglar: ""Hey, you there! Stop!”, the burglar turns around, sees the police officer and surrenders. He raises his hands and admits to have stolen from the store nearby.
Is the police officer surprised when he hears what the burglar says?",True ,"Yes. He only meant to return the dropped glove and didn’t know the man was a burglar, so the confession would surprise him.","Why does the burglar surrender and admit his crime, when the police officer just wanted to give him back his glove?",,"Guilty conscience and misinterpretation. Hearing a cop shout “Stop!” right after his theft, he assumed he’d been caught and surrendered, not realizing the officer only meant to return his dropped glove.",,,,,0
SS_5misunderstanding,You will be asked a question. Please respond to it as accurately as possible without using many words.,"A thief just stole from a bazaar. He tries to flee. While running home, a security guard sees that he just dropped a hat. The security guard does not know that the man is a thief. All he wants to say is that the thief dropped his hat. But when the security guard yells at the thief: ""Hey, you there! Stop!”, the thief turns around, sees the security guard and surrenders. He raises his hands and admits to have stolen from the bazaar nearby.
Is the security guard surprised when he hears what the thief says?",True ,Yes—he only meant to return a dropped hat and didn’t know about the theft.,"Why does the thief surrender and admit his crime, when the security guard just wanted to give him back his hat?",,"Because he assumed the uniformed guard’s “Stop!” was about the theft. Guilty conscience + panic made him think he’d been caught, so he confessed.",,,,,1
SS_5misunderstanding,You will be asked a question. Please respond to it as accurately as possible without using many words.,"The teacher doesn't allow Sanne to play soccer until she has completed all her assignments. But she doesn't feel like doing those assignments at all! She secretly goes to the storage room to get the ball.
The school director comes by, he sees that Sanne cannot reach the ball. He doesn't know that she has to finish her assignments first. The director just wants to help Sanne get the ball. He asks, ""Are you okay?""
Sanne is afraid, she thinks she has been caught. She says, 'Sorry! I'll do my assignments first...'
Is the director surprised when he hears what Sanne says?",True ,"Yes. He doesn’t know about the rule and was just trying to help, so her sudden apology about assignments is unexpected.","Why does Sanne say this, when the director only wanted to help her?",,"Because she thinks he’s caught her breaking the teacher’s rule. Misreading his intent, she apologizes and promises to do the assignments out of fear/guilt.",,,,,2
SS_6sarcasm,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Bram's mother cooked for a very long time to make Bram's favorite dish: fish and chips. But when she brings it to Bram, he is watching TV. He doesn't even look up or say thank you. Bram's mother is angry and says, ""Well that's very nice! That's what I call politeness!”
Is it true what Bram's mother says?",False ,No. She’s being sarcastic (verbal irony); Bram was impolite.,Why does Bram's mother say this?,,"She’s using sarcasm to rebuke him. By saying the opposite, she highlights his rudeness and pushes him to acknowledge her effort and say thanks.",,,,,0
SS_6sarcasm,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Kim's father cooked for a very long time to make Kim's favourite dish: dumplings and rice. But when he brings it to Kim, she is watching TV. She doesn't even look up or say thank you. Kim's father is angry and says, ""Well that's very nice! That's what I call politeness!""
Is it true what Kim's father says?",False ,No. He’s being sarcastic—Kim’s behavior was impolite.,Why does Kim's father say this?,,He’s using sarcasm to scold her for being rude—ignoring him and not saying thank you—and to prompt her to show appreciation.,,,,,1
SS_6sarcasm,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Kim promised her father to help clean the kitchen. She first cleaned the sink and then all the doors of the cabinets. She thought it would be a good idea to also clean the cabinets from the inside. When she opened one of them, a pack flour fell out of it on the ground. It exploded and flour was everywhere. At that point, Kim's father entered the kitchen. He said: ""Wow, everything is so clean now!"" 
Is it true what Kim's father says?",False ,No. The flour spill made a mess; he’s likely being sarcastic.,Why does Kim's father say this?,,He’s being sarcastic—saying the opposite to highlight the huge mess from the flour spill.,,,,,2
SS7_dubblebluff,You will be asked a question. Please respond to it as accurately as possible without using many words.,"During the war, the Red Army kidnaps someone from the Blue Army. They want the prisoner to tell them where his army's tanks are. The Red Army knows they must be either by the sea or by the mountains. The Red Army also knows that whoever they kidnapped doesn't want to say anything because he wants to save his own Blue Army. So the prisoner will surely lie to them. The prisoner is very smart and brave and does not want to let them find the tanks. The tanks are in the mountains. The Red Army asks the prisoner where the tanks are. He says, ""They are in the mountains.""
Is it true what the prisoner says?",True ,Yes—he tells the truth knowing they’ll assume he’s lying and search the sea instead.,Why does the prisoner say this?,,"Because it’s a double-bluff. He knows they expect a lie and will invert his answer; saying “mountains” makes them search the sea. If he’d said “sea,” they’d look in the mountains and find the tanks.",,,,,0
SS7_dubblebluff,You will be asked a question. Please respond to it as accurately as possible without using many words.,"During the war, the Roman Army kidnaps someone from the Greek Army. They want the prisoner to tell them where his army's armour supplies are. The Roman Army knows they must be either in the mountains or by the sea. The Roman Army also knows that whoever they kidnapped doesn't want to say anything because he wants to save his own Greek Army. So the prisoner will surely lie to them. The prisoner is very smart and brave and does not want to let them find the armour supplies. The armour supplies are near the sea. The Roman Army asks the prisoner where the armour supplies are. He says, ""They are near the sea.""
Is it true what the prisoner says?",True ,"Yes. The supplies really are by the sea; he tells the truth so the Romans, expecting a lie, will search the mountains.",Why does the prisoner say this?,,"To mislead them. If he lied and said “mountains,” the Romans—expecting a lie—would go to the sea and find the supplies. So he tells the truth as a double-bluff, making them search the mountains.",,,,,1
SS7_dubblebluff,You will be asked a question. Please respond to it as accurately as possible without using many words.,"Jip plays hide and seek with his friends. He has to quickly choose where to hide, behind the tree or the shed. If Jip is found immediately, he has lost. You can hide better behind the shed, so that's the best place. But whoever has to look for him probably thinks so too. Jip is very smart: he hides behind the shed after all!
Where does Jip hide?",Shed,Behind the shed.,Jip realizes that the others will also think that the shed is the best place. Why does he hide behind it?,,"Double-bluff: he expects them to check the tree first, so the shed is safer.",,,,,2
H_1,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Sam and Helen. Sam just moved here. Helen: Hi, you're Sam, aren't you? I'm Helen, I'm in the same class as you. Sam: Oh, hey Helen! How are you? Helen: Fine thanks. Are you settling in OK? Sam: Yeah I'm gradually finding my way around, thanks. Hey, you don't happen to know where I can find the nearest store to buy some post stamps? I need to send a card to my granny. Helen: Oh, that's sweet of you. Sam: Yeah but it’s her birthday tomorrow and I can't see her myself, so I'm kind of worried that it’s not going to get there on time. So I really need to send it today but I don't know where to find a store nearby. Helen: Uhm, I think there is one on Chestnut Street, so if you go down to the end of this street and turn left, then it's about half a block down on the left. Sam: Thanks! Helen: No problem. Here’s Sam again. Later Sam meets his friend Pete. Sam: Hi Pete, how are you? Pete: Oh hi Sam how are you? Sam: Yeah, I'm OK. Pete: You don't sound so happy. What's up? Sam: Oh, I'm just a bit annoyed. I was really hoping to send a card to my granny, so I was looking for a store where they would sell post stamps. So I asked Helen, you know her, right? She is in our class. Pete: Yeah, I know Helen! Sam: Well, I asked Helen where I could buy post stamps. She told me there was a store on Chestnut Street. But when I got there, there was a big sign on the door saying it had moved to Bold Street. So I raced over to Bold Street, but I didn't make it on time, the store was already closed. Pete: No way! Sam: Yeah. So now my granny won't get her birthday card on time and I know she'll be really disappointed. Sam: Hey, I've heard that Helen is a bit of a joker. Do you think she would send me to the wrong place on purpose? Pete: Well, did she know how important it was to send the card today? Sam: Yeah I told her it was for granny's birthday tomorrow. Pete: Then I think she probably wouldn't have been deliberately trying to trick you. It was probably an honest mistake.
Helen: Pete and I are classmates. Is this correct?",Yes,Yes.,why?,,"Because Sam tells Pete, “She is in our class,” which implies Sam and Pete share a class and Helen is in that same class. Therefore Helen and Pete are classmates.",,,1,M,
H_1,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Sam and Helen. Sam just moved here. Helen: Hi, you're Sam, aren't you? I'm Helen, I'm in the same class as you. Sam: Oh, hey Helen! How are you? Helen: Fine thanks. Are you settling in OK? Sam: Yeah I'm gradually finding my way around, thanks. Hey, you don't happen to know where I can find the nearest store to buy some post stamps? I need to send a card to my granny. Helen: Oh, that's sweet of you. Sam: Yeah but it’s her birthday tomorrow and I can't see her myself, so I'm kind of worried that it’s not going to get there on time. So I really need to send it today but I don't know where to find a store nearby. Helen: Uhm, I think there is one on Chestnut Street, so if you go down to the end of this street and turn left, then it's about half a block down on the left. Sam: Thanks! Helen: No problem. Here’s Sam again. Later Sam meets his friend Pete. Sam: Hi Pete, how are you? Pete: Oh hi Sam how are you? Sam: Yeah, I'm OK. Pete: You don't sound so happy. What's up? Sam: Oh, I'm just a bit annoyed. I was really hoping to send a card to my granny, so I was looking for a store where they would sell post stamps. So I asked Helen, you know her, right? She is in our class. Pete: Yeah, I know Helen! Sam: Well, I asked Helen where I could buy post stamps. She told me there was a store on Chestnut Street. But when I got there, there was a big sign on the door saying it had moved to Bold Street. So I raced over to Bold Street, but I didn't make it on time, the store was already closed. Pete: No way! Sam: Yeah. So now my granny won't get her birthday card on time and I know she'll be really disappointed. Sam: Hey, I've heard that Helen is a bit of a joker. Do you think she would send me to the wrong place on purpose? Pete: Well, did she know how important it was to send the card today? Sam: Yeah I told her it was for granny's birthday tomorrow. Pete: Then I think she probably wouldn't have been deliberately trying to trick you. It was probably an honest mistake.
Granny: It is my birthday today. Is this correct?",No,No.,why?,,"Because earlier Sam said “it’s her birthday tomorrow,” and all the events (him trying to buy stamps today) happen on that same day. So it isn’t her birthday yet.",,,1,M,
H_1,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Sam and Helen. Sam just moved here. Helen: Hi, you're Sam, aren't you? I'm Helen, I'm in the same class as you. Sam: Oh, hey Helen! How are you? Helen: Fine thanks. Are you settling in OK? Sam: Yeah I'm gradually finding my way around, thanks. Hey, you don't happen to know where I can find the nearest store to buy some post stamps? I need to send a card to my granny. Helen: Oh, that's sweet of you. Sam: Yeah but it’s her birthday tomorrow and I can't see her myself, so I'm kind of worried that it’s not going to get there on time. So I really need to send it today but I don't know where to find a store nearby. Helen: Uhm, I think there is one on Chestnut Street, so if you go down to the end of this street and turn left, then it's about half a block down on the left. Sam: Thanks! Helen: No problem. Here’s Sam again. Later Sam meets his friend Pete. Sam: Hi Pete, how are you? Pete: Oh hi Sam how are you? Sam: Yeah, I'm OK. Pete: You don't sound so happy. What's up? Sam: Oh, I'm just a bit annoyed. I was really hoping to send a card to my granny, so I was looking for a store where they would sell post stamps. So I asked Helen, you know her, right? She is in our class. Pete: Yeah, I know Helen! Sam: Well, I asked Helen where I could buy post stamps. She told me there was a store on Chestnut Street. But when I got there, there was a big sign on the door saying it had moved to Bold Street. So I raced over to Bold Street, but I didn't make it on time, the store was already closed. Pete: No way! Sam: Yeah. So now my granny won't get her birthday card on time and I know she'll be really disappointed. Sam: Hey, I've heard that Helen is a bit of a joker. Do you think she would send me to the wrong place on purpose? Pete: Well, did she know how important it was to send the card today? Sam: Yeah I told her it was for granny's birthday tomorrow. Pete: Then I think she probably wouldn't have been deliberately trying to trick you. It was probably an honest mistake.
Sam: I just moved here and my granny's birthday is coming up. Is this correct?",Yes,Yes.,why?,,"Because the story explicitly says “Sam just moved here,” and Sam tells Helen he needs stamps to send his granny a card because “it’s her birthday tomorrow,” meaning her birthday is coming up.",,,2,M,
H_1,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Sam and Helen. Sam just moved here. Helen: Hi, you're Sam, aren't you? I'm Helen, I'm in the same class as you. Sam: Oh, hey Helen! How are you? Helen: Fine thanks. Are you settling in OK? Sam: Yeah I'm gradually finding my way around, thanks. Hey, you don't happen to know where I can find the nearest store to buy some post stamps? I need to send a card to my granny. Helen: Oh, that's sweet of you. Sam: Yeah but it’s her birthday tomorrow and I can't see her myself, so I'm kind of worried that it’s not going to get there on time. So I really need to send it today but I don't know where to find a store nearby. Helen: Uhm, I think there is one on Chestnut Street, so if you go down to the end of this street and turn left, then it's about half a block down on the left. Sam: Thanks! Helen: No problem. Here’s Sam again. Later Sam meets his friend Pete. Sam: Hi Pete, how are you? Pete: Oh hi Sam how are you? Sam: Yeah, I'm OK. Pete: You don't sound so happy. What's up? Sam: Oh, I'm just a bit annoyed. I was really hoping to send a card to my granny, so I was looking for a store where they would sell post stamps. So I asked Helen, you know her, right? She is in our class. Pete: Yeah, I know Helen! Sam: Well, I asked Helen where I could buy post stamps. She told me there was a store on Chestnut Street. But when I got there, there was a big sign on the door saying it had moved to Bold Street. So I raced over to Bold Street, but I didn't make it on time, the store was already closed. Pete: No way! Sam: Yeah. So now my granny won't get her birthday card on time and I know she'll be really disappointed. Sam: Hey, I've heard that Helen is a bit of a joker. Do you think she would send me to the wrong place on purpose? Pete: Well, did she know how important it was to send the card today? Sam: Yeah I told her it was for granny's birthday tomorrow. Pete: Then I think she probably wouldn't have been deliberately trying to trick you. It was probably an honest mistake.
Sam: I asked where there was a shop that sells post stamps because I wanted to send a package. Is this correct?",No,No.,why?,,"Because in the story you needed postage stamps to mail a birthday card to your granny, not to send a package. You never mentioned a package—only the card.",,,2,M,
H_1,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Sam and Helen. Sam just moved here. Helen: Hi, you're Sam, aren't you? I'm Helen, I'm in the same class as you. Sam: Oh, hey Helen! How are you? Helen: Fine thanks. Are you settling in OK? Sam: Yeah I'm gradually finding my way around, thanks. Hey, you don't happen to know where I can find the nearest store to buy some post stamps? I need to send a card to my granny. Helen: Oh, that's sweet of you. Sam: Yeah but it’s her birthday tomorrow and I can't see her myself, so I'm kind of worried that it’s not going to get there on time. So I really need to send it today but I don't know where to find a store nearby. Helen: Uhm, I think there is one on Chestnut Street, so if you go down to the end of this street and turn left, then it's about half a block down on the left. Sam: Thanks! Helen: No problem. Here’s Sam again. Later Sam meets his friend Pete. Sam: Hi Pete, how are you? Pete: Oh hi Sam how are you? Sam: Yeah, I'm OK. Pete: You don't sound so happy. What's up? Sam: Oh, I'm just a bit annoyed. I was really hoping to send a card to my granny, so I was looking for a store where they would sell post stamps. So I asked Helen, you know her, right? She is in our class. Pete: Yeah, I know Helen! Sam: Well, I asked Helen where I could buy post stamps. She told me there was a store on Chestnut Street. But when I got there, there was a big sign on the door saying it had moved to Bold Street. So I raced over to Bold Street, but I didn't make it on time, the store was already closed. Pete: No way! Sam: Yeah. So now my granny won't get her birthday card on time and I know she'll be really disappointed. Sam: Hey, I've heard that Helen is a bit of a joker. Do you think she would send me to the wrong place on purpose? Pete: Well, did she know how important it was to send the card today? Sam: Yeah I told her it was for granny's birthday tomorrow. Pete: Then I think she probably wouldn't have been deliberately trying to trick you. It was probably an honest mistake.
Sam: I believed Helen when she told me where the store was. Is this correct?",Yes,Yes,why?,,"Because he acted on her directions without hesitation—he went to Chestnut Street. He only questioned her intentions afterward, when he discovered the store had moved, so at the time he clearly believed her.",,,2,I,
H_1,You will be provided a story. At the end there is a yes/no question. Please answer as accurately as possible.,"Meet Sam and Helen. Sam just moved here. Helen: Hi, you're Sam, aren't you? I'm Helen, I'm in the same class as you. Sam: Oh, hey Helen! How are you? Helen: Fine thanks. Are you settling in OK? Sam: Yeah I'm gradually finding my way around, thanks. Hey, you don't happen to know where I can find the nearest store to buy some post stamps? I need to send a card to my granny. Helen: Oh, that's sweet of you. Sam: Yeah but it’s her birthday tomorrow and I can't see her myself, so I'm kind of worried that it’s not going to get there on time. So I really need to send it today but I don't know where to find a store nearby. Helen: Uhm, I think there is one on Chestnut Street, so if you go down to the end of this street and turn left, then it's about half a block down on the left. Sam: Thanks! Helen: No problem. Here’s Sam again. Later Sam meets his friend Pete. Sam: Hi Pete, how are you? Pete: Oh hi Sam how are you? Sam: Yeah, I'm OK. Pete: You don't sound so happy. What's up? Sam: Oh, I'm just a bit annoyed. I was really hoping to send a card to my granny, so I was looking for a store where they would sell post stamps. So I asked Helen, you know her, right? She is in our class. Pete: Yeah, I know Helen! Sam: Well, I asked Helen where I could buy post stamps. She told me there was a store on Chestnut Street. But when I got there, there was a big sign on the door saying it had moved to Bold Street. So I raced over to Bold Street, but I didn't make it on time, the store was already closed. Pete: No way! Sam: Yeah. So now my granny won't get her birthday card on time and I know she'll be really disappointed. Sam: Hey, I've heard that Helen is a bit of a joker. Do you think she would send me to the wrong place on purpose? Pete: Well, did she know how important it was to send the card today? Sam: Yeah I told her it was for granny's birthday tomorrow. Pete: Then I think she probably wouldn't have been deliberately trying to trick you. It was probably an honest mistake.
Sam: I couldn't send the card because when I arrived to the right store, it was already closed. Is this correct?",Yes,Yes.,why?,,"Because the Chestnut Street shop had moved to Bold Street, and when Sam got to the new (right) location it was already closed. Since he couldn’t buy stamps, he couldn’t send the card that day.",,,3,M,
